1, 311, 0
1, 327, 0
1, 372, 0
1, 282, 0
1, 508, 0
1, 153, 0
1, 15, 0
0, 48, 0
1, 307, 0
0, 55, 0
1, 664, 1
1, 141, 0
1, 119, 0
0, 322, 0
1, 182, 0
1, 570, 0
1, 114, 0
1, 38, 0
1, 362, 0
1, 197, 0
1, 599, 0
1, 399, 0
1, 357, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 545, 0
1, 532, 0
1, 165, 0
1, 368, 0
1, 109, 0
1, 540, 0
1, 128, 0
1, 234, 0
1, 303, 0
1, 249, 0
0, 46, 0
1, 303, 0
0, 1264, 0
1, 11, 0
1, 1735, 0
1, 294, 0
1, 288, 0
1, 575, 0
1, 461, 0
1, 177, 0
1, 199, 0
1, 887, 0
0, 202, 0
1, 195, 0
1, 392, 0
1, 419, 0
1, 401, 0
1, 71, 0
1, 395, 0
1, 141, 0
1, 209, 0
0, 492, 0
1, 1455, 0
1, 410, 0
1, 841, 0
1, 854, 0
0, 2279, 1
1, 326, 0
1, 173, 0
1, 348, 0
1, 426, 0
0, 543, 0
1, 541, 0
1, 452, 0
1, 52, 0
1, 1461, 0
1, 514, 0
1, 2, 0
1, 480, 0
1, 214, 0
0, 53, 0
1, 63, 0
1, 349, 0
1, 344, 0
1, 108, 0
1, 402, 1
1, 511, 0
1, 81, 0
1, 213, 0
1, 502, 0
1, 77, 0
1, 436, 0
1, 140, 1
1, 80, 0
1, 936, 0
1, 433, 0
0, 50, 0
1, 162, 0
1, 651, 0
1, 74, 0
1, 274, 0
1, 142, 0
1, 333, 0
1, 3967, 0
1, 161, 0
1, 505, 0
1, 173, 0
1, 121, 0
1, 91, 0
0, 1913, 1
1, 400, 0
0, 48, 0
1, 336, 0
1, 168, 0
1, 156, 0
1, 159, 0
1, 226, 0
1, 399, 1
1, 526, 0
1, 148, 0
1, 296, 0
1, 533, 1
0, 225, 0
1, 488, 0
1, 180, 0
1, 211, 0
0, 200, 0
1, 495, 0
1, 391, 1
1, 996, 0
1, 457, 0
1, 119, 0
0, 256, 0
1, 574, 0
1, 460, 0
1, 163, 0
1, 22, 0
1, 175, 0
1, 505, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 114, 0
1, 308, 0
1, 465, 1
1, 672, 0
1, 112, 0
1, 761, 0
1, 556, 0
1, 501, 0
1, 387, 0
1, 157, 0
1, 1006, 0
1, 162, 0
1, 184, 0
1, 152, 0
1, 510, 0
1, 486, 0
1, 649, 0
1, 179, 0
1, 1464, 0
1, 355, 1
1, 248, 0
0, 1308, 1
1, 390, 0
1, 490, 0
0, 326, 0
1, 472, 0
1, 541, 1
1, 177, 0
1, 546, 0
1, 598, 0
1, 201, 0
1, 127, 0
1, 222, 0
1, 337, 0
0, 2434, 0
1, 357, 0
1, 442, 0
1, 260, 0
1, 144, 0
1, 20, 0
1, 461, 0
1, 655, 0
0, 250, 0
1, 133, 0
1, 1101, 0
1, 113, 0
1, 497, 0
1, 571, 0
1, 335, 0
1, 103, 0
1, 499, 0
1, 91, 0
1, 407, 0
1, 121, 0
1, 506, 0
1, 550, 1
1, 426, 0
1, 815, 0
0, 258, 0
1, 954, 0
1, 692, 0
1, 149, 0
1, 350, 0
1, 83, 0
1, 286, 0
1, 321, 0
1, 91, 0
1, 549, 0
1, 479, 0
1, 173, 0
0, 245, 0
1, 541, 0
1, 495, 0
1, 441, 0
1, 361, 0
1, 71, 0
1, 621, 0
1, 193, 0
1, 225, 0
1, 167, 0
1, 491, 0
1, 562, 0
1, 703, 0
1, 416, 0
1, 206, 0
1, 912, 0
1, 100, 0
0, 1253, 0
1, 631, 0
1, 436, 0
1, 970, 0
1, 1154, 1
1, 270, 0
1, 981, 0
1, 404, 0
1, 482, 0
1, 351, 0
1, 118, 0
1, 30, 0
1, 118, 0
1, 354, 0
1, 286, 0
1, 196, 0
1, 470, 0
1, 337, 0
1, 3098, 0
1, 143, 0
1, 516, 0
1, 667, 0
0, 582, 0
1, 169, 0
0, 248, 0
1, 224, 0
1, 497, 0
1, 349, 0
1, 336, 0
1, 122, 0
1, 566, 0
1, 116, 0
1, 392, 0
1, 669, 0
1, 353, 0
1, 1155, 0
1, 485, 1
1, 364, 0
0, 229, 0
1, 101, 0
1, 264, 1
1, 297, 0
1, 815, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 493, 0
1, 164, 0
1, 764, 0
1, 49, 0
1, 411, 0
1, 294, 0
1, 76, 0
1, 275, 0
1, 363, 0
1, 508, 1
1, 433, 0
1, 462, 0
1, 418, 0
1, 425, 1
0, 237, 0
1, 442, 0
1, 191, 0
1, 443, 1
1, 409, 0
1, 471, 0
1, 315, 0
1, 381, 0
1, 611, 0
1, 302, 0
1, 477, 0
1, 359, 0
1, 412, 0
1, 729, 0
1, 365, 0
1, 461, 0
0, 50, 0
1, 501, 0
1, 517, 0
1, 472, 1
1, 113, 0
1, 128, 0
1, 300, 0
1, 328, 0
1, 596, 0
0, 173, 0
1, 347, 0
1, 348, 0
1, 401, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 490, 1
0, 1876, 1
1, 556, 1
1, 508, 0
1, 580, 0
1, 318, 0
1, 410, 0
1, 356, 0
1, 510, 0
1, 120, 0
1, 615, 0
1, 386, 0
1, 207, 0
1, 1320, 0
1, 999, 0
1, 1970, 0
1, 391, 0
1, 638, 0
1, 167, 0
1, 514, 0
1, 235, 0
1, 861, 0
1, 359, 0
1, 173, 0
1, 591, 0
1, 267, 0
1, 426, 0
1, 624, 0
1, 979, 0
1, 478, 0
1, 167, 0
1, 320, 0
0, 530, 0
1, 198, 0
1, 176, 0
1, 430, 0
1, 92, 0
1, 125, 0
1, 432, 0
1, 142, 0
1, 201, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 556, 0
1, 415, 0
1, 498, 0
1, 31, 0
1, 198, 0
1, 157, 0
1, 406, 0
1, 280, 0
1, 2111, 0
1, 436, 0
1, 188, 1
0, 203, 0
1, 831, 0
1, 96, 0
0, 2306, 0
1, 69, 1
1, 357, 0
1, 127, 0
1, 104, 0
0, 2935, 0
1, 175, 0
1, 60, 0
1, 423, 0
1, 1070, 0
1, 353, 0
1, 189, 0
1, 129, 0
1, 211, 0
1, 132, 0
1, 458, 0
1, 213, 0
1, 1368, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 218, 0
0, 249, 0
1, 497, 1
1, 334, 0
1, 196, 0
1, 447, 0
1, 1148, 0
1, 197, 0
1, 204, 0
1, 95, 0
1, 433, 0
1, 457, 0
1, 306, 0
1, 289, 0
1, 371, 0
1, 181, 0
1, 393, 0
1, 445, 0
1, 201, 0
1, 528, 0
1, 148, 0
1, 382, 0
1, 197, 0
1, 499, 0
1, 95, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 520, 0
1, 520, 0
1, 250, 0
1, 298, 1
1, 1016, 0
1, 490, 0
1, 540, 0
1, 406, 0
1, 657, 0
1, 1276, 1
1, 188, 0
1, 611, 0
1, 450, 0
1, 200, 0
1, 194, 0
1, 148, 0
1, 115, 0
1, 304, 0
1, 220, 1
1, 498, 0
1, 255, 0
1, 417, 0
1, 52, 0
1, 47, 0
1, 205, 0
0, 2393, 0
0, 193, 0
1, 486, 0
1, 462, 0
1, 104, 1
1, 135, 0
1, 213, 0
1, 401, 0
1, 472, 0
1, 622, 0
1, 540, 0
1, 349, 0
1, 146, 0
1, 715, 0
1, 389, 0
1, 583, 0
1, 177, 0
0, 960, 0
1, 113, 0
1, 735, 0
0, 560, 0
1, 164, 0
1, 257, 1
1, 471, 0
1, 141, 1
1, 461, 0
1, 479, 0
1, 558, 0
1, 251, 0
1, 105, 0
1, 173, 0
1, 409, 0
1, 156, 0
1, 521, 0
1, 330, 0
1, 315, 0
1, 147, 0
1, 1190, 0
1, 521, 0
1, 382, 0
1, 507, 0
1, 864, 0
1, 383, 0
1, 721, 0
1, 218, 0
1, 130, 0
1, 560, 0
1, 608, 0
1, 373, 0
1, 22, 1
1, 468, 0
1, 401, 0
1, 111, 0
1, 564, 0
1, 160, 0
1, 416, 0
1, 479, 1
1, 176, 0
1, 159, 0
0, 48, 0
1, 182, 0
0, 241, 0
1, 644, 0
1, 557, 0
1, 494, 0
1, 172, 0
1, 112, 0
1, 524, 0
1, 476, 0
0, 807, 0
1, 266, 0
1, 368, 0
1, 177, 0
1, 145, 0
1, 144, 0
0, 243, 0
1, 645, 0
1, 315, 0
1, 101, 0
1, 87, 0
1, 36, 0
1, 589, 1
1, 508, 0
1, 769, 0
1, 500, 0
1, 691, 0
1, 543, 0
1, 421, 0
1, 741, 0
1, 350, 0
1, 541, 0
1, 221, 0
1, 84, 0
1, 494, 0
0, 91, 0
1, 383, 0
1, 2, 0
0, 570, 0
1, 454, 0
1, 364, 0
1, 406, 0
1, 257, 0
1, 201, 1
0, 410, 1
1, 463, 0
1, 489, 0
1, 471, 0
1, 426, 1
1, 372, 0
1, 371, 0
1, 298, 0
1, 393, 0
1, 191, 0
1, 380, 0
1, 320, 0
1, 429, 0
1, 293, 0
0, 177, 0
1, 140, 0
1, 160, 0
1, 277, 0
1, 449, 0
1, 475, 0
1, 235, 0
1, 207, 0
1, 547, 0
1, 173, 0
1, 1332, 0
1, 1007, 1
1, 414, 0
1, 216, 0
1, 424, 0
0, 91, 0
1, 537, 0
1, 474, 0
1, 175, 0
1, 105, 0
1, 177, 0
1, 203, 0
1, 199, 0
1, 199, 0
1, 450, 0
1, 650, 0
1, 348, 0
1, 363, 0
1, 119, 0
1, 186, 0
0, 539, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 133, 0
1, 458, 0
1, 238, 0
1, 661, 0
1, 132, 0
1, 384, 0
1, 499, 0
1, 331, 0
1, 190, 0
1, 410, 0
1, 149, 0
1, 469, 0
1, 92, 0
0, 197, 0
1, 118, 1
1, 101, 0
1, 165, 0
1, 183, 0
1, 148, 0
1, 395, 0
1, 510, 0
1, 2291, 0
1, 432, 0
1, 559, 0
1, 941, 0
1, 51, 0
1, 383, 0
1, 238, 0
1, 582, 0
1, 113, 0
1, 278, 0
1, 484, 0
1, 447, 0
0, 787, 0
1, 428, 0
1, 594, 0
1, 80, 0
1, 412, 1
1, 229, 0
1, 140, 1
0, 113, 0
1, 341, 0
1, 543, 0
1, 476, 0
1, 129, 0
1, 398, 0
1, 137, 0
1, 156, 0
1, 152, 0
1, 174, 1
1, 404, 0
1, 260, 0
1, 406, 0
1, 167, 0
1, 499, 0
1, 463, 0
1, 267, 0
1, 472, 0
1, 342, 0
1, 1275, 0
1, 244, 0
1, 472, 0
1, 440, 0
1, 462, 0
1, 430, 0
1, 61, 1
1, 736, 1
1, 944, 0
1, 213, 0
1, 77, 0
1, 176, 0
1, 412, 0
1, 218, 0
1, 224, 0
1, 592, 0
1, 145, 0
1, 305, 0
0, 204, 0
1, 87, 1
1, 161, 0
1, 586, 0
1, 1031, 0
1, 38, 0
1, 108, 0
1, 358, 0
1, 123, 0
1, 231, 0
1, 239, 0
1, 155, 0
0, 2520, 1
1, 445, 0
1, 334, 0
1, 456, 0
1, 149, 0
0, 1683, 1
0, 234, 0
1, 262, 0
1, 85, 0
1, 430, 1
1, 490, 0
1, 105, 0
0, 209, 0
1, 447, 0
1, 506, 0
1, 150, 1
1, 568, 0
1, 119, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 329, 0
1, 152, 0
1, 474, 0
1, 387, 0
1, 284, 1
1, 193, 0
1, 538, 1
1, 153, 0
1, 389, 0
1, 378, 0
1, 496, 0
1, 410, 0
1, 407, 0
1, 548, 0
0, 198, 0
1, 249, 0
1, 474, 0
1, 525, 0
1, 443, 0
1, 126, 0
1, 363, 0
1, 379, 1
1, 360, 0
1, 538, 0
1, 158, 1
1, 145, 1
1, 553, 0
1, 568, 1
1, 458, 0
1, 467, 0
1, 71, 0
1, 673, 0
1, 114, 0
1, 413, 0
1, 222, 0
0, 51, 0
1, 663, 0
1, 156, 0
1, 297, 0
1, 141, 0
0, 133, 0
1, 649, 0
1, 467, 0
1, 124, 0
1, 304, 0
1, 480, 0
1, 440, 1
1, 69, 0
1, 522, 0
1, 196, 0
1, 1509, 0
1, 1, 0
1, 45, 1
1, 630, 0
1, 101, 0
1, 173, 0
1, 162, 0
1, 346, 0
1, 201, 0
1, 516, 0
1, 384, 0
1, 548, 0
1, 452, 1
1, 478, 0
1, 637, 0
1, 108, 0
1, 102, 1
1, 397, 1
1, 1787, 0
1, 644, 0
1, 155, 0
1, 552, 0
1, 432, 0
0, 186, 0
1, 521, 0
1, 414, 0
1, 575, 0
1, 149, 0
0, 574, 0
1, 211, 0
1, 443, 1
1, 136, 0
1, 369, 0
1, 553, 0
1, 491, 0
1, 463, 0
1, 748, 1
1, 48, 0
1, 541, 0
1, 128, 0
1, 244, 0
1, 606, 0
1, 211, 0
1, 142, 0
1, 161, 0
1, 363, 0
1, 306, 0
1, 398, 0
1, 105, 0
1, 178, 0
1, 447, 0
1, 543, 0
1, 90, 0
1, 97, 0
1, 82, 0
1, 145, 0
1, 547, 0
1, 268, 0
0, 50, 0
1, 325, 0
1, 486, 1
1, 409, 0
1, 138, 0
1, 417, 0
1, 141, 0
1, 479, 0
1, 416, 0
1, 582, 0
1, 486, 0
1, 148, 0
1, 287, 0
1, 378, 0
1, 115, 0
1, 650, 0
1, 107, 1
1, 74, 0
1, 87, 0
1, 163, 0
1, 551, 0
1, 297, 0
1, 498, 0
1, 183, 0
1, 101, 0
1, 509, 0
1, 132, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 343, 0
1, 85, 0
1, 392, 0
1, 1105, 0
1, 278, 0
1, 420, 0
1, 95, 0
1, 358, 0
1, 479, 0
1, 70, 0
1, 151, 0
1, 160, 0
1, 427, 1
1, 190, 0
1, 625, 0
1, 482, 0
1, 616, 0
1, 595, 0
1, 1566, 0
1, 639, 0
1, 549, 0
1, 496, 0
1, 114, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 2379, 0
1, 693, 0
1, 150, 0
1, 111, 0
1, 436, 0
1, 424, 0
1, 1718, 0
1, 141, 0
1, 186, 0
1, 241, 0
1, 83, 0
1, 352, 0
1, 157, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 274, 0
1, 533, 0
1, 107, 0
1, 177, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 588, 0
1, 196, 0
1, 84, 0
1, 535, 0
1, 613, 0
1, 252, 0
1, 214, 0
1, 616, 0
1, 294, 0
1, 537, 0
0, 193, 0
1, 532, 0
1, 212, 1
1, 75, 0
1, 291, 0
1, 168, 1
1, 224, 0
1, 192, 0
1, 711, 0
1, 125, 0
1, 384, 0
1, 276, 0
1, 426, 0
1, 477, 0
1, 228, 0
1, 544, 1
1, 543, 0
1, 279, 0
1, 617, 0
1, 105, 0
1, 584, 0
1, 419, 0
1, 172, 1
1, 575, 0
1, 490, 0
1, 247, 0
1, 402, 1
1, 2795, 0
1, 554, 0
1, 176, 0
1, 485, 0
1, 440, 0
1, 686, 0
1, 146, 0
1, 562, 0
1, 116, 0
1, 249, 0
1, 443, 0
1, 570, 0
1, 896, 0
1, 424, 0
1, 100, 0
1, 1316, 0
1, 249, 0
1, 154, 0
1, 1334, 0
1, 497, 0
1, 203, 0
0, 49, 0
1, 234, 1
1, 272, 0
1, 198, 0
1, 625, 0
1, 556, 0
0, 182, 0
1, 448, 0
1, 724, 0
1, 265, 0
1, 508, 0
1, 505, 0
1, 144, 1
1, 108, 0
1, 517, 0
1, 105, 0
1, 479, 0
1, 403, 0
1, 484, 0
1, 404, 0
1, 216, 0
1, 164, 0
1, 196, 0
1, 558, 0
1, 1082, 0
0, 171, 0
1, 694, 0
1, 197, 0
1, 586, 0
1, 113, 0
1, 488, 0
1, 195, 0
1, 649, 0
1, 585, 0
1, 480, 1
1, 445, 1
1, 582, 0
1, 448, 0
1, 201, 0
1, 613, 0
1, 336, 0
1, 557, 0
1, 172, 0
1, 521, 0
1, 114, 0
1, 145, 0
1, 205, 0
1, 179, 1
1, 552, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 203, 1
1, 130, 0
1, 701, 0
1, 576, 0
1, 394, 0
1, 134, 0
1, 570, 0
1, 437, 0
1, 650, 0
1, 554, 0
1, 223, 0
1, 194, 0
1, 1543, 0
1, 227, 0
1, 320, 0
1, 175, 0
1, 470, 0
1, 132, 0
1, 462, 0
1, 372, 0
1, 170, 0
1, 60, 0
1, 342, 0
1, 133, 0
1, 625, 0
1, 482, 0
1, 428, 0
1, 1575, 1
1, 379, 0
1, 59, 0
1, 420, 0
1, 532, 0
1, 617, 0
1, 187, 0
1, 603, 0
1, 151, 0
1, 316, 0
1, 412, 0
1, 424, 1
0, 214, 0
1, 160, 0
1, 485, 0
1, 443, 0
1, 200, 0
0, 135, 0
1, 455, 0
1, 342, 0
0, 245, 0
1, 522, 0
1, 538, 0
1, 567, 0
1, 398, 0
1, 34, 0
1, 92, 0
1, 77, 0
1, 542, 0
1, 138, 0
1, 180, 0
1, 521, 0
1, 396, 0
0, 53, 0
1, 412, 0
1, 138, 0
1, 221, 0
1, 412, 0
1, 600, 1
1, 348, 0
1, 608, 0
1, 592, 0
1, 572, 0
1, 174, 0
0, 91, 0
1, 480, 0
1, 391, 0
1, 175, 0
1, 397, 0
1, 302, 0
1, 510, 0
1, 724, 0
1, 118, 0
1, 624, 1
1, 401, 0
1, 479, 1
1, 341, 0
1, 208, 0
1, 573, 0
1, 545, 0
1, 394, 1
1, 1019, 0
1, 625, 0
1, 182, 0
1, 130, 0
1, 403, 0
1, 305, 0
1, 536, 1
0, 304, 0
0, 64, 0
1, 264, 0
1, 457, 0
1, 180, 0
1, 414, 0
1, 470, 0
1, 148, 0
1, 648, 0
1, 225, 0
1, 262, 0
1, 558, 0
1, 95, 0
1, 452, 0
1, 383, 0
1, 447, 0
1, 108, 0
1, 428, 1
1, 161, 0
1, 1, 0
1, 522, 0
1, 394, 0
1, 508, 0
1, 509, 0
1, 658, 0
1, 269, 0
1, 35, 0
1, 23, 0
1, 367, 0
1, 101, 0
1, 546, 0
1, 525, 0
1, 241, 1
1, 604, 1
1, 274, 0
1, 568, 0
1, 487, 0
1, 160, 1
1, 560, 0
1, 385, 0
1, 658, 0
1, 242, 0
1, 305, 0
1, 133, 0
1, 593, 0
1, 384, 0
1, 239, 0
0, 251, 0
1, 559, 0
1, 537, 0
0, 207, 0
1, 919, 0
1, 471, 0
1, 169, 0
0, 248, 0
1, 92, 1
1, 314, 0
1, 144, 0
1, 114, 0
1, 173, 0
1, 86, 1
1, 573, 0
1, 117, 0
0, 91, 0
1, 406, 0
1, 134, 0
0, 573, 0
1, 402, 0
0, 616, 0
1, 590, 0
1, 517, 0
1, 78, 0
1, 652, 0
1, 338, 0
1, 184, 0
1, 602, 0
1, 124, 0
1, 965, 0
1, 582, 0
1, 303, 0
1, 27, 0
1, 330, 0
1, 420, 0
1, 515, 0
1, 614, 0
1, 414, 0
1, 202, 0
1, 219, 0
1, 559, 0
1, 462, 0
1, 385, 0
1, 484, 0
1, 185, 0
1, 609, 0
1, 171, 0
1, 215, 1
1, 232, 0
1, 636, 0
1, 134, 0
1, 175, 0
1, 438, 0
1, 499, 0
1, 719, 0
1, 680, 0
1, 186, 0
1, 420, 0
1, 118, 0
0, 67, 0
1, 122, 0
1, 219, 0
0, 37, 0
0, 33, 0
1, 495, 1
0, 20, 0
0, 19, 0
0, 19, 0
0, 21, 0
0, 20, 0
0, 23, 0
0, 23, 0
0, 26, 0
0, 29, 1
0, 33, 0
0, 33, 0
0, 36, 1
0, 40, 0
0, 43, 1
1, 132, 0
1, 275, 1
1, 706, 0
1, 368, 0
1, 534, 0
1, 428, 0
1, 163, 0
0, 85, 0
1, 30, 0
1, 210, 0
1, 732, 1
1, 494, 0
1, 523, 1
1, 497, 0
1, 609, 0
1, 546, 0
0, 270, 0
1, 408, 0
1, 484, 1
0, 73, 1
1, 95, 0
1, 386, 0
1, 163, 0
1, 108, 0
1, 660, 0
1, 584, 0
1, 213, 0
1, 180, 0
1, 532, 0
1, 611, 0
1, 555, 0
1, 681, 0
1, 586, 0
1, 266, 0
1, 425, 0
1, 461, 0
1, 180, 0
1, 112, 0
1, 531, 0
0, 227, 0
1, 626, 0
1, 346, 0
0, 401, 0
1, 637, 0
0, 22, 0
0, 26, 0
0, 29, 0
0, 33, 0
0, 36, 0
0, 40, 0
1, 474, 0
1, 569, 0
1, 523, 0
1, 672, 0
1, 344, 0
0, 3132, 0
0, 35, 0
0, 31, 0
1, 246, 0
1, 403, 1
1, 453, 0
1, 535, 1
1, 215, 0
1, 568, 0
0, 443, 0
0, 15, 0
1, 1488, 0
0, 71, 0
0, 73, 1
1, 269, 0
1, 154, 0
1, 432, 0
1, 99, 1
1, 163, 1
0, 24, 0
0, 22, 0
0, 22, 0
1, 436, 0
1, 219, 0
0, 260, 0
1, 390, 0
1, 664, 0
1, 297, 0
1, 603, 0
1, 595, 0
0, 61, 0
1, 584, 0
1, 104, 0
1, 602, 1
0, 499, 0
0, 1312, 0
1, 94, 0
1, 818, 0
1, 390, 0
1, 95, 0
0, 111, 0
0, 38, 0
0, 34, 0
0, 31, 0
0, 27, 0
0, 53, 0
0, 22, 0
0, 20, 1
0, 19, 0
0, 15, 1
0, 15, 0
0, 11, 0
0, 11, 0
0, 11, 0
0, 8, 0
0, 8, 0
0, 8, 0
0, 8, 0
0, 8, 0
1, 408, 0
0, 36, 0
1, 587, 0
1, 474, 0
1, 446, 0
1, 488, 0
1, 145, 0
1, 497, 0
1, 364, 1
1, 544, 0
1, 392, 0
1, 534, 0
1, 601, 0
0, 528, 0
1, 572, 0
1, 245, 0
1, 409, 0
1, 223, 0
1, 568, 0
1, 1197, 0
1, 82, 0
1, 55, 0
0, 3497, 0
1, 354, 0
1, 206, 0
1, 149, 0
0, 592, 1
1, 424, 0
1, 190, 1
1, 233, 0
1, 176, 0
1, 570, 0
1, 451, 0
1, 546, 0
1, 138, 0
1, 496, 0
1, 1819, 0
1, 330, 0
1, 97, 0
1, 47, 0
0, 171, 0
1, 611, 0
1, 86, 0
1, 248, 0
1, 184, 0
1, 176, 0
1, 180, 0
1, 155, 0
0, 62, 0
0, 61, 0
0, 61, 0
1, 232, 0
1, 448, 0
1, 282, 0
1, 74, 0
1, 46, 0
1, 424, 0
0, 139, 0
1, 453, 0
0, 250, 0
0, 193, 0
1, 470, 0
1, 247, 0
1, 96, 0
1, 371, 0
1, 32, 0
1, 420, 1
0, 334, 0
1, 437, 0
1, 563, 0
1, 257, 0
1, 527, 0
1, 507, 0
1, 491, 0
1, 413, 0
1, 466, 0
1, 543, 0
1, 296, 0
1, 728, 0
1, 372, 1
1, 144, 0
1, 61, 0
1, 511, 1
1, 94, 0
0, 815, 0
1, 52, 0
1, 414, 0
0, 104, 0
0, 100, 0
1, 164, 0
1, 204, 0
1, 288, 0
1, 124, 0
1, 157, 0
1, 149, 0
0, 514, 0
1, 397, 0
1, 546, 0
1, 544, 0
0, 79, 0
1, 88, 1
1, 207, 0
0, 629, 1
0, 195, 0
1, 179, 0
1, 410, 1
1, 161, 0
1, 290, 0
1, 284, 0
1, 247, 0
1, 445, 0
1, 77, 0
1, 466, 0
1, 490, 0
1, 167, 0
1, 268, 0
1, 596, 0
1, 481, 0
1, 102, 0
1, 101, 0
1, 155, 0
1, 618, 0
1, 537, 0
1, 625, 0
1, 403, 0
1, 102, 1
1, 458, 0
1, 189, 1
1, 183, 0
0, 126, 0
0, 472, 0
1, 159, 1
0, 249, 0
1, 500, 0
1, 392, 0
1, 502, 0
1, 126, 0
0, 166, 0
1, 175, 0
1, 137, 0
0, 167, 0
1, 144, 0
0, 100, 0
1, 305, 0
1, 144, 0
1, 94, 0
1, 158, 0
0, 111, 0
1, 343, 0
1, 111, 0
1, 114, 0
1, 308, 0
1, 357, 1
1, 171, 0
1, 545, 0
1, 744, 0
0, 27, 0
0, 23, 0
1, 227, 0
1, 195, 0
1, 51, 0
1, 84, 0
1, 293, 1
1, 105, 0
0, 176, 0
0, 16, 0
0, 18, 0
0, 18, 0
0, 21, 0
0, 21, 1
0, 25, 0
0, 25, 1
0, 29, 0
1, 205, 0
0, 48, 0
1, 174, 0
1, 1190, 1
1, 276, 0
1, 133, 0
1, 165, 0
0, 195, 0
0, 15, 0
0, 15, 0
0, 19, 0
0, 19, 0
0, 179, 0
1, 602, 1
1, 629, 0
1, 84, 0
1, 387, 0
1, 655, 0
1, 532, 0
1, 124, 0
0, 524, 0
0, 191, 0
1, 336, 0
1, 168, 0
1, 133, 0
0, 58, 0
0, 205, 0
1, 48, 0
1, 218, 0
1, 1207, 0
1, 560, 0
1, 109, 0
1, 372, 0
1, 346, 0
1, 255, 0
1, 675, 0
1, 1693, 0
1, 401, 0
1, 337, 0
1, 185, 0
0, 1, 0
0, 81, 0
0, 36, 0
1, 545, 0
0, 23, 0
0, 21, 0
1, 188, 0
0, 25, 0
1, 493, 0
1, 74, 0
1, 91, 0
0, 91, 0
1, 200, 0
1, 160, 0
1, 94, 0
1, 458, 0
1, 611, 0
1, 191, 0
1, 94, 0
0, 85, 0
1, 157, 0
1, 553, 0
1, 617, 0
1, 211, 0
1, 257, 0
1, 335, 1
1, 545, 1
1, 537, 0
1, 147, 0
1, 114, 0
1, 518, 1
0, 830, 0
1, 348, 0
1, 567, 0
1, 528, 0
1, 215, 0
0, 33, 1
0, 31, 0
1, 64, 1
1, 67, 0
1, 121, 0
1, 432, 0
0, 245, 0
1, 368, 0
1, 592, 0
0, 10, 0
0, 10, 0
0, 48, 0
1, 145, 0
1, 550, 0
1, 120, 0
1, 470, 0
0, 1, 0
0, 153, 0
0, 1, 0
0, 295, 0
1, 97, 0
1, 123, 0
1, 424, 0
0, 19, 0
0, 487, 0
1, 45, 0
1, 632, 0
1, 181, 0
1, 673, 0
1, 655, 0
1, 567, 0
1, 1082, 0
1, 164, 0
1, 1240, 0
0, 87, 0
0, 82, 0
1, 536, 0
1, 578, 0
1, 149, 0
0, 9, 0
0, 14, 0
0, 14, 0
0, 14, 0
0, 19, 0
0, 19, 0
1, 824, 0
1, 125, 0
1, 145, 0
0, 282, 0
1, 438, 0
1, 472, 0
1, 133, 0
1, 433, 0
1, 387, 0
1, 112, 0
1, 72, 0
1, 146, 1
0, 152, 0
1, 26, 0
1, 168, 0
0, 139, 0
1, 143, 0
1, 336, 0
1, 550, 0
1, 617, 0
1, 516, 0
1, 118, 0
1, 150, 0
1, 547, 0
1, 179, 0
0, 218, 0
1, 147, 0
1, 292, 0
1, 488, 0
1, 440, 0
1, 98, 0
1, 528, 0
0, 7, 0
1, 558, 0
1, 397, 0
1, 386, 0
1, 513, 0
0, 109, 0
0, 69, 0
1, 235, 0
1, 121, 1
1, 243, 1
1, 500, 0
1, 361, 0
1, 487, 0
1, 566, 0
1, 300, 0
1, 473, 0
1, 415, 0
1, 127, 0
1, 418, 0
1, 139, 0
1, 205, 0
